"date";"max";"min";
"01-01-2022";17.2;-0.3;
"02-01-2022";14.5;-0.1;
"03-01-2022";14.5;1.1;
"04-01-2022";12.8;0.4;
"05-01-2022";10.1;4.2;
"06-01-2022";8.5;-1.3;
"07-01-2022";10.8;-2.3;
"08-01-2022";7.6;-3.1;
"09-01-2022";13.8;-2.2;
"10-01-2022";15.9;4.8;
"11-01-2022";16.5;2.1;
"12-01-2022";13.0;-0.5;
"13-01-2022";9.5;-3.0;
"14-01-2022";9.8;-4.1;
"15-01-2022";9.5;-4.1;
"16-01-2022";10.3;-4.5;
"17-01-2022";12.0;-4.2;
"18-01-2022";12.8;-4.7;
"19-01-2022";14.9;-5.3;
"20-01-2022";13.6;-3.4;
"21-01-2022";10.3;-2.8;
"22-01-2022";10.7;-3.9;
"23-01-2022";10.7;-3.0;
"24-01-2022";9.0;0.7;
"25-01-2022";10.4;1.0;
"26-01-2022";11.8;-3.2;
"27-01-2022";15.1;-3.0;
"28-01-2022";17.0;-3.9;
"29-01-2022";18.1;-4.4;
"30-01-2022";17.8;-3.9;
"31-01-2022";17.7;-3.9;
"01-02-2022";17.7;5.4;
"02-02-2022";20.9;0.0;
"03-02-2022";17.8;-1.9;
"04-02-2022";14.0;2.6;
"05-02-2022";15.4;4.1;
"06-02-2022";15.2;-1.1;
"07-02-2022";18.2;-2.6;
"08-02-2022";17.9;0.0;
"09-02-2022";16.2;-1.3;
"10-02-2022";16.6;-1.7;
"11-02-2022";16.8;0.1;
"12-02-2022";15.7;1.5;
"13-02-2022";14.5;3.0;
"14-02-2022";12.5;3.1;
"15-02-2022";13.9;-2.1;
"16-02-2022";14.9;0.8;
"17-02-2022";18.5;-0.3;
"18-02-2022";19.3;0.4;
"19-02-2022";13.9;4.0;
"20-02-2022";16.1;-2.6;
"21-02-2022";19.0;0.0;
"22-02-2022";20.8;0.1;
"23-02-2022";18.8;-0.5;
"24-02-2022";17.0;0.2;
"25-02-2022";11.1;6.2;
"26-02-2022";9.4;6.0;
"27-02-2022";14.8;5.8;
"28-02-2022";17.3;1.9;
"01-03-2022";18.3;0.5;
"02-03-2022";17.0;6.7;
"03-03-2022";9.3;3.3;
"04-03-2022";13.8;5.4;
"05-03-2022";12.4;0.0;
"06-03-2022";12.6;2.4;
"07-03-2022";11.8;4.6;
"08-03-2022";12.7;5.7;
"09-03-2022";13.5;1.0;
"10-03-2022";15.3;5.8;
"11-03-2022";13.8;7.3;
"12-03-2022";13.0;1.1;
"13-03-2022";14.3;4.5;
"14-03-2022";13.6;5.6;
"15-03-2022";17.3;10.5;
"16-03-2022";15.9;10.3;
"17-03-2022";12.6;7.6;
"18-03-2022";14.3;5.1;
"19-03-2022";13.9;5.4;
"20-03-2022";13.8;8.5;
"21-03-2022";14.6;8.0;
"22-03-2022";12.0;7.7;
"23-03-2022";12.6;6.4;
"24-03-2022";12.4;7.1;
"25-03-2022";12.4;7.1;
"26-03-2022";14.6;8.2;
"27-03-2022";14.6;8.2;
"28-03-2022";17.0;3.5;
"29-03-2022";17.6;8.4;
"30-03-2022";13.0;8.3;
"31-03-2022";13.7;4.2;
"01-04-2022";10.5;3.7;
"02-04-2022";11.0;0.1;
"03-04-2022";11.7;-2.2;
"04-04-2022";13.9;-0.6;
"05-04-2022";13.3;3.3;
"06-04-2022";17.2;4.0;
"07-04-2022";19.9;5.0;
"08-04-2022";16.4;5.2;
"09-04-2022";18.9;9.6;
"10-04-2022";22.6;9.8;
"11-04-2022";22.9;5.7;
"12-04-2022";15.4;8.0;
"13-04-2022";19.2;3.9;
"14-04-2022";22.3;8.7;
"15-04-2022";24.8;7.3;
"16-04-2022";26.4;8.0;
"17-04-2022";25.3;6.8;
"18-04-2022";26.1;9.0;
"19-04-2022";19.1;7.4;
"20-04-2022";13.2;3.9;
"21-04-2022";17.4;3.9;
"22-04-2022";12.1;6.8;
"23-04-2022";13.2;5.4;
"24-04-2022";18.0;4.6;
"25-04-2022";20.5;4.0;
"26-04-2022";22.1;8.1;
"27-04-2022";18.0;11.3;
"28-04-2022";17.2;9.5;
"29-04-2022";23.1;7.3;
"30-04-2022";23.4;10.2;
"01-05-2022";25.2;9.3;
"02-05-2022";18.3;10.2;
"03-05-2022";16.9;10.8;
"04-05-2022";21.5;9.5;
"05-05-2022";23.6;7.0;
"06-05-2022";24.4;6.4;
"07-05-2022";25.1;7.2;
"08-05-2022";27.0;8.3;
"09-05-2022";28.0;9.2;
"10-05-2022";29.3;9.8;
"11-05-2022";30.6;12.3;
"12-05-2022";28.2;13.0;
"13-05-2022";30.4;11.6;
"14-05-2022";29.7;14.2;
"15-05-2022";26.1;14.1;
"16-05-2022";27.5;10.2;
"17-05-2022";29.6;10.7;
"18-05-2022";33.0;13.1;
"19-05-2022";35.2;14.8;
"20-05-2022";34.4;16.7;
"21-05-2022";35.4;16.1;
"22-05-2022";29.6;17.8;
"23-05-2022";27.9;13.2;
"24-05-2022";23.0;13.0;
"25-05-2022";23.7;7.6;
"26-05-2022";28.7;8.6;
"27-05-2022";32.4;11.9;
"28-05-2022";32.9;13.1;
"29-05-2022";31.6;13.7;
"30-05-2022";24.1;16.5;
"31-05-2022";30.9;11.2;
"01-06-2022";30.0;14.4;
"02-06-2022";30.0;14.4;
"03-06-2022";28.0;14.9;
"04-06-2022";27.8;12.0;
"05-06-2022";29.9;11.5;
"06-06-2022";31.3;12.5;
"07-06-2022";33.1;15.0;
"08-06-2022";28.8;17.0;
"09-06-2022";34.7;17.6;
"10-06-2022";36.4;17.0;
"11-06-2022";37.4;18.9;
"12-06-2022";36.8;19.1;
"13-06-2022";38.6;18.4;
"14-06-2022";39.4;20.8;
"15-06-2022";40.5;21.2;
"16-06-2022";39.2;25.3;
"17-06-2022";40.3;21.2;
"18-06-2022";39.7;21.5;
"19-06-2022";30.8;19.3;
"20-06-2022";28.1;17.8;
"21-06-2022";28.4;11.3;
"22-06-2022";24.9;15.1;
"23-06-2022";25.1;15.2;
"24-06-2022";27.3;12.7;
"25-06-2022";27.9;14.6;
"26-06-2022";27.6;15.6;
"27-06-2022";28.9;16.2;
"28-06-2022";31.6;13.5;
"29-06-2022";32.6;14.0;
"30-06-2022";30.8;15.1;
"01-07-2022";33.9;14.3;
"02-07-2022";36.6;19.9;
"03-07-2022";35.4;22.2;
"04-07-2022";35.0;18.5;
"05-07-2022";37.6;16.1;
"06-07-2022";32.1;21.6;
"07-07-2022";33.9;16.3;
"08-07-2022";36.2;17.9;
"09-07-2022";37.9;19.0;
"10-07-2022";39.0;21.2;
"11-07-2022";39.0;21.5;
"12-07-2022";39.4;21.8;
"13-07-2022";40.8;22.1;
"14-07-2022";42.2;22.9;
"15-07-2022";40.5;21.1;
"16-07-2022";40.5;22.1;
"17-07-2022";39.9;22.0;
"18-07-2022";39.5;22.5;
"19-07-2022";35.0;24.9;
"20-07-2022";37.6;18.3;
"21-07-2022";38.6;21.1;
"22-07-2022";38.4;21.2;
"23-07-2022";39.2;17.3;
"24-07-2022";40.1;16.3;
"25-07-2022";38.2;20.1;
"26-07-2022";36.7;20.1;
"27-07-2022";36.0;20.5;
"28-07-2022";36.5;19.2;
"29-07-2022";37.1;18.6;
"30-07-2022";37.8;21.3;
"31-07-2022";37.8;20.4;
"01-08-2022";39.6;22.5;
"02-08-2022";39.3;23.2;
"03-08-2022";38.6;21.4;
"04-08-2022";37.8;19.8;
"05-08-2022";37.4;21.2;
"06-08-2022";37.4;20.8;
"07-08-2022";36.7;21.3;
"08-08-2022";37.1;19.8;
"09-08-2022";38.1;20.8;
"10-08-2022";37.7;25.0;
"11-08-2022";36.7;23.4;
"12-08-2022";37.7;21.0;
"13-08-2022";29.6;21.7;
"14-08-2022";33.3;15.1;
"15-08-2022";32.2;14.3;
"16-08-2022";30.0;17.6;
"17-08-2022";28.7;14.9;
"18-08-2022";29.4;14.2;
"19-08-2022";32.3;15.2;
"20-08-2022";35.1;15.6;
"21-08-2022";37.3;16.8;
"22-08-2022";36.1;20.2;
"23-08-2022";37.3;20.4;
"24-08-2022";36.6;20.9;
"25-08-2022";35.1;20.0;
"26-08-2022";32.5;20.3;
"27-08-2022";32.5;20.3;
"28-08-2022";35.3;19.2;
"29-08-2022";34.5;22.8;
"30-08-2022";35.3;18.2;
"31-08-2022";32.2;20.3;
"01-09-2022";32.8;14.5;
"02-09-2022";30.6;14.9;
"03-09-2022";29.0;14.6;
"04-09-2022";29.8;12.2;
"05-09-2022";29.6;11.6;
"06-09-2022";29.6;12.9;
"07-09-2022";27.6;12.5;
"08-09-2022";29.4;18.3;
"09-09-2022";32.1;19.0;
"10-09-2022";34.0;16.1;
"11-09-2022";35.6;17.4;
"12-09-2022";31.5;20.6;
"13-09-2022";26.6;17.0;
"14-09-2022";25.3;15.3;
"15-09-2022";26.2;17.0;
"16-09-2022";28.6;14.5;
"17-09-2022";29.3;14.9;
"18-09-2022";30.3;15.5;
"19-09-2022";28.8;18.8;
"20-09-2022";28.8;18.8;
"21-09-2022";29.7;13.2;
"22-09-2022";29.7;13.2;
"23-09-2022";28.7;15.1;
"24-09-2022";27.5;12.7;
"25-09-2022";22.7;10.9;
"26-09-2022";23.8;10.3;
"29-09-2022";18.9;11.7;
"30-09-2022";21.0;8.7;
"01-10-2022";25.7;6.6;
"02-10-2022";29.7;8.5;
"03-10-2022";29.0;10.1;
"04-10-2022";31.4;10.1;
"05-10-2022";28.8;11.6;
"06-10-2022";27.5;12.8;
"07-10-2022";25.2;11.2;
"08-10-2022";27.6;10.9;
"09-10-2022";25.9;13.1;
"10-10-2022";22.2;13.8;
"11-10-2022";23.1;14.5;
"12-10-2022";25.0;11.5;
"13-10-2022";25.1;10.7;
"14-10-2022";27.9;9.9;
"15-10-2022";27.7;9.6;
"16-10-2022";26.4;10.4;
"17-10-2022";26.6;14.4;
"18-10-2022";29.3;12.2;
"19-10-2022";25.9;12.4;
"20-10-2022";21.6;13.6;
"21-10-2022";19.0;14.5;
"22-10-2022";23.3;12.1;
"23-10-2022";18.5;14.1;
"24-10-2022";18.1;12.0;
"25-10-2022";24.3;11.9;
"26-10-2022";24.0;12.7;
"27-10-2022";23.9;14.0;
"28-10-2022";24.2;11.7;
"29-10-2022";24.1;11.8;
"30-10-2022";20.4;10.5;
"31-10-2022";16.0;8.9;
"01-11-2022";21.2;11.8;
"02-11-2022";21.9;8.4;
"03-11-2022";18.6;11.4;
"04-11-2022";16.6;5.1;
"05-11-2022";18.4;1.9;
"06-11-2022";19.7;1.6;
"07-11-2022";19.4;4.5;
"08-11-2022";16.7;7.8;
"09-11-2022";17.3;7.6;
"10-11-2022";18.5;3.5;
"11-11-2022";17.2;4.7;
"12-11-2022";20.6;10.1;
"13-11-2022";18.8;8.5;
"14-11-2022";17.3;7.4;
"15-11-2022";16.9;12.7;
"16-11-2022";14.0;11.4;
"17-11-2022";17.7;11.5;
"18-11-2022";14.3;8.6;
"19-11-2022";11.8;6.6;
"20-11-2022";17.7;3.7;
"21-11-2022";14.9;7.2;
"22-11-2022";13.1;6.2;
"23-11-2022";18.3;11.0;
"24-11-2022";14.2;10.1;
"25-11-2022";14.9;4.5;
"26-11-2022";13.9;0.2;
"27-11-2022";14.3;0.2;
"28-11-2022";13.4;3.5;
"29-11-2022";13.3;-0.2;
"30-11-2022";13.0;2.1;
"01-12-2022";13.1;1.3;
"02-12-2022";11.4;1.7;
"03-12-2022";8.8;-1.0;
"04-12-2022";7.7;0.4;
"05-12-2022";9.3;3.6;
"06-12-2022";11.6;8.5;
"07-12-2022";13.8;6.2;
"08-12-2022";13.1;6.3;
"09-12-2022";10.9;8.0;
"10-12-2022";13.2;7.5;
"11-12-2022";9.3;6.0;
"12-12-2022";15.0;8.1;
"13-12-2022";15.5;12.9;
"14-12-2022";14.3;10.3;
"15-12-2022";12.5;8.5;
"16-12-2022";11.1;5.9;
"17-12-2022";12.4;8.0;
"18-12-2022";11.3;4.8;
"19-12-2022";11.3;2.4;
"20-12-2022";9.2;4.1;
"21-12-2022";14.7;8.1;
"22-12-2022";15.7;10.7;
"23-12-2022";15.7;10.7;
"24-12-2022";11.7;5.8;
"25-12-2022";16.3;5.2;
"26-12-2022";17.0;2.9;
"27-12-2022";15.7;1.7;
"28-12-2022";14.5;0.6;
"29-12-2022";12.8;7.2;
"30-12-2022";14.0;7.9;
"31-12-2022";15.6;2.2;